item_id,title,date,publisher,fids,fnames
4909450,WAVE-saver for office buildings,[2000],EPA,FID77,30000078832957.iso
4285370,Voluntary reporting of greenhouse gases,1996,"Voluntary Reporting of Greenhouse Gas Program, U.S. Dept. of Energy, Energy Information Administration",FID217|FID2078|FID2451|FID2474,30000044896086.iso|30000048805984.iso|32000000478034.iso|30000053565168.iso
5117233,Automotive collision avoidance system (ACAS),2000],National Highway Traffic Safety Admininistration,FID110,30000081893798.iso
4944853,ecological characterization of the greater Yellowstone area,[2001],"U.S. Dept. of Agriculture, Forest Service, Rocky Mountain Research Station",FID3341,30000079006544.iso
599413,TIGER/census tract street index,[1994],"U.S. Dept. of Commerce, Bureau of the Census, Data User Services Division",FID2041,30000044551434.iso
4259647,"1:2,000,000-scale digital line graph data",[c1995],The Survey,FID3002,30000077394330.iso
3786003,1990 census of population and housing,[1992],"U.S. Dept. of Commerce, Bureau of the Census, Data User Services Division",FID3922,30000066884432.iso
4912000,Topographic LIDAR,[2000],NOAA Coastal Services Center,FID846,30000078177692.iso
2813200,Common criteria & methodology for information technology security evaluation,1999],Dept. of Defense,FID2250,30000067278592.iso
2829050,Small business resource guide,19uu,Internal Revenue Service,FID576,30000053414987.iso
4292317,Internal revenue manual,1997,"Dept. of the Treasury, Internal Revenue Service",FID1945|FID2284|FID815|FID2973|FID1464,30000056043148.iso|30000056041456.iso|30000048846582.iso|30000056038460.iso|30000056091576.iso
5633365,Colorado coal quality data,2001,Colorado Geological Survey,FID153,30000087809384.iso
1370095,Catalog of electronic data products ... from the National Center for Health Statistics,199u,The Center,FID3234,30000102588773.img
5678548,Census 2000,[2003],"U.S. Dept. of Commerce, Economics and Statistics Administration",FID1350,30000085740797.iso
4928836,"Characterization of the Ashepoo-Combahee-Edisto (ACE) Basin, South Carolina",2001,South Carolina Department of Natural Resources,FID409,30000078831298.iso
1383026,Military intelligence story,1998,"History Office, Office of the Chief of Staff, U.S. Army Intelligence and Security Command",FID2614,30000062203868.iso
4288138,Alabama coastal hazards assessment,1997,NOAA Coastal Services Center,FID3900,30000056959046.iso
4301320,Partner's idea book,[1999?],Dept. of Education,FID2484,30000062222512.img
4955814,Acoustic Doppler Current Profilers,[2000]s,"WOCE Data Information Unit, University of Delaware, College of Marine Studies",FID3257,30000078818352.iso
1326428,Defense science and technology strategy and plans,[1998],Dept. of Defense,FID837,30000062940634.iso
7437340,Ensuring equitable services to private school children,2006,"U.S. Dept. of Education, Office of Elementary and Secondary Education, Student Achievement and School Accountability Programs",FID3480,30000116585534.iso
4288321,Atlas of GLORIA sidescan-sonar imagery of the Exclusive Economic Zone of the United States: EEZ-View,1997,The Survey,FID23,30000077394348.iso
1162234,Catalog of Navy training courses,19uu,Naval Education and Training Command,FID2553,30000048805901.iso
